评论,评分,分词
号寄过去你们用了六天才签收后面又等了两天让你们采购然后又要等你能寄到售后部再让我等-个工作日七七八八这个售后现在还没收到手机也还没发货订单已完成现在我还在继续等手机,1,号 寄过去 六天 签收 后面 两天 采购 寄 售后 部再 - 工作日 七七八八 售后 现在 没收 手机 没 发货 订单 完成 现在 继续 手机 
我就想问这个能不能再烫再卡一点服了辣鸡体验掉帧严重手里一热卡的要死打王者还卡,1,想 问 不能 烫 卡 一点 服了 辣鸡 体验 掉 帧 严重 手里 热卡 要死 王者 还卡 
打个王者都发烫还指定职业选手手都烫残了感觉就是翻新机已经不是以前的了准备换品牌了垃圾玩意儿,1,打个 王者 发烫 指定 职业 选手 手 烫 残 感觉 翻新 机 已经 以前 准备 换 品牌 垃圾 玩意儿 
待机时间耗电太快满电打三个小时王者就关机了容易发热骁龙也没那么快,1,待机时间 耗电 太快 满电 三个 小时 王者 关机 容易 发热 骁龙 没 快 
本来手机最大卖点分钟充满电我买到的却是要充分钟才满电,1,本来 手机 最大 卖点 分钟 充满 电 买 却是 充分 钟才 满电 
差差差用了几天来评价手机耗电非常快充满电打游戏两个小时就没电了感觉是残次品一样大家谨慎谨慎在谨慎,1,差差 差用 几天 评价 手机 耗电 非常 快 充满 电 打游戏 两个 小时 没电 感觉 残次品 谨慎 谨慎 谨慎 
非常差充不住电老是卡还没网真的买后悔了特别的费电电池不行太后悔了劝各位别买这个了后悔死了,1,非常 差充 不住 电老 卡 没网 真的 买 后悔 特别 费电 电池 不行 太 后悔 劝 别买 后悔 死 
什么都没有得送玩手游真卡充电发热很厉害打游戏发热烫手听歌一小时掉电百分之十还不如一代的强后悔入手了,1,没有 送 玩手 游真卡 充电 发热 厉害 打游戏 发热 烫手 听歌 小时 掉电 百分之十 一代 强 后悔 入手 
本以为在京东自营店买有保障一点没想到到比第三方态度还差了手机正常使用白天都要充两次电声音吗时大时小的申请售后换货吗售后人员说没有问题就原路返回了我拒收了就没有人处理过问了我就想问一下那几个红色的字怎么理解的,1,京东 自营 店 买 保障 一点 没想到 第三方 态度 差 手机 正常 使用 白天 充 两次 电 声音 时大时 申请 售后 换货 售后 人员 说 没有 问题 原路 返回 拒收 没有 处理 过问 想 问 一下 几个 红色 字 理解 
四千的东西连一个电话都不打就直接放丰巢快递柜了这啥服务啊,1,四千 东西连 一个 电话 直接 放丰巢 快递 柜 服务 
服了降价降了这么多月买的差评手机发热也特别严重谁买谁后悔系列不推介,1,服 降价 降 多月 买 差评 手机 发热 特别 严重 买 后悔 系列 推介 
商品给星吧等的时间实在是太长了月日交定金交尾款结果却被忽悠今天推明天明天推后天的就是不给发货好容易到货了礼盒包装的两个防伪标签还被拆开了很多人都说是商家自己拆开的就为了礼盒里的那枚限量金币呵呵这次京东给我的购物体验真的是奇差无比,1,商品 给星 时间 实在 太长 月 日交 定金 交尾 款 忽悠 今天 推 明天 明天 推 后天 发货 好容易 到货 礼盒 包装 两个 防伪 标签 拆开 很多 说 商家 拆开 礼盒 里 枚 限量 金币 京东 购物 体验 真的 奇差 无比 
这手机真的发热太严重了才随便看了一会还没打游戏呢直接就热的要命我真怕它突然爆炸了,1,手机 真的 发热 太 严重 随便 一会 没 打游戏 直接 热 要命 真怕 突然 爆炸 
网速不行但是游戏操作非常棒双屏压感给力换换个手机试试卡不卡,1,网速 不行 游戏 操作 非常 棒 双屏 压感 给力 换换 手机 试试 卡不卡 
游戏延迟太高客服提供的解决办法一个都没用使命召唤开打中人了对方确不掉血等秒左右自己就莫名重生了有时候对方人瞬间就没了,1,游戏 延迟 太高 客服 提供 解决办法 一个 没用 使命 召唤 开打 中人 确 掉血 秒左右 莫名 重生 有时候 瞬间 没 
这个快递真的是等了我多天才发货无语这么慢而且一直催还不发货服了,1,快递 真的 天才 发货 语 慢 一直 催 发货 服 
我才用了四十多天开始发烫放在手机烫手那种充电发烫打游戏发烫真的无语,1,四十多天 发烫 放在 手机 烫手 那种 充电 发烫 打游戏 发烫 真的 语 
超级差告诉我是现货结果等了多天说给补偿也迟迟没有动静,1,超级 差 告诉 现货 多天 说 补偿 迟迟 没有 动静 
买了一周了充电得-分钟之间和所宣传不一样就是奔着十五分钟快充来的很失望,1,买 一周 充电 - 分钟 之间 宣传 奔 十五分钟 快 充来 失望 
就这样卡住了才买几天出现好几次了主打的游戏手机很失望,1,卡住 买 几天 出现 几次 主打 游戏 手机 失望 
这还电竞手机呢和左右手机差不多玩王者声音滋滋的垃圾根本不值建议不要买,1,电 竞 手机 左右 手机 差不多 玩 王者 声音 滋滋 垃圾 根本 不值 建议 不要 买 
前置摄像头圆圈的边缘厚度大小不一这是人为无法去改变的很明显是出厂的问题找客服交涉给我的答复是超出了换货日期,1,前置 摄像头 圆圈 边缘 厚度 大小不一 这是 人为 无法 改变 明显 出厂 问题 找 客服 交涉 答复 超出 换货 日期 
第一次用手机直接给我整吐了还游戏手机吹着风扇手机温度都一直保持以上玩吃鸡完全卡的不能玩现在还退不了超级后悔,1,第一次 手机 直接 整吐 游戏 手机 吹 风扇 手机 温度 一直 保持 玩 吃 鸡 完全 卡 不能 玩 现在 退 不了 超级 后悔 
什么刚买了一周屏幕就突然失灵而且还自己关机给人感觉极差后悔买了,1,刚买 一周 屏幕 突然 失灵 关机 感觉 极差 后悔 买 
手机绿屏耳机还漏发和客服反馈好几天都没用扯皮得很,1,手机 绿屏 耳机 漏发 客服 反馈 几天 没用 扯 皮得很 
手机电池非常不耐用送的耳机一个星期还没有发货玩我呢花了几千块钱就这再也不买手机了游戏手机电用两个小时没电了搞笑,1,手机电池 非常 耐用 送 耳机 一个 星期 没有 发货 玩 花 几千块 钱 再也 买手机 游戏 手机 电用 两个 小时 没电 搞笑 
说送耳机也没给跟我说和手机一起发了发没发我看不到吗还让我联系客服问你们买的关京东客服毛事儿真的苟,1,说 送 耳机 没 说 手机 一起 发了 发没发 看不到 联系 客服 问 买 关 京东 客服 毛 事儿 真的 苟 
电池一点都不给力只是接打几个电话就没电了一天冲三次点晚上冲满电待机早上起来就少左右的电,1,电池 一点 力 接打 几个 电话 没电 一天 三次 点 晚上 满电 待机 早上 起来 少 左右 电 
发烫严重经常闪退刚开始没在意后面想申请换一台但是已经超过一个月了发烫严重是硬伤,1,发烫 严重 经常 闪退 刚 没 在意 后面 想 申请 换 一台 已经 超过 一个月 发烫 严重 硬伤 
好评妥妥刷的打吃鸡五分钟屏幕直接因为发热变暗建议煎个鸡蛋打完吃鸡手机热得直接变卡真心差得不想说了,1,好评 妥妥 刷 吃 鸡 五分钟 屏幕 直接 发热 变暗 建议 煎个 鸡蛋 完 吃 鸡 手机 热得 直接 变卡 真心 差得 不想 说 
的手机除了个充电宝啥都没有玩游戏调成赫兹玩一分钟手机就可以当暖宝宝了吹出来的手机入坑了,1,手机 充电 宝 没有 玩游戏 调 成 赫兹 玩 一分钟 手机 当暖 宝宝 吹出来 手机 入坑 
第一像素是真的差劲还没我左右的手机像素好第二耗电是真的快第三期盼已久希望多大失望就多大第四根本不值这么多钱第五性价比谈不上后续再补充,1,第一 像素 真的 差劲 没 左右 手机 像素 第二 耗电 真的 快 第三 期盼 久 希望 多大 失望 第四 根本 不值 多钱 第五 性价比 谈不上 后续 补充 
是最让我失望的一款手机打个王者卡屏就算了我看个青年大学习都能给我卡屏了发热还挺严重很失望的一款手机,1,失望 一款 手机 打个 王者 卡屏 看个 青年 学习 卡屏 发热 挺 严重 失望 一款 手机 
一买就降价降一千玩游戏发热充电快耗电也快录屏打王者也就打七八把没电了发烫得很,1,一买 降价 降 一千 玩游戏 发热 充电 快 耗电 快 录屏 王者 七八把 没电 发 烫得 
实在是有点烂注册新机莫名其妙死机注册完成后又死机两次这谁玩的过,1,实在 有点 烂 注册 新机 莫名其妙 死机 注册 完成 死机 两次 玩 
差评非常严重的差评客服的态度和她们的速度简直了说是号买赠送背包到现在也没收到背包而且也没给发一直催促一直说耐心等待你们这不是欺骗人吗说好了到个工作日就发出现在都多天了还没信一直不发商家夸大宣传有赠品不发以后再也不会买了就冲这态度也不会买了,1,差评 非常 严重 差评 客服 态度 速度 简直 说 号 买 赠送 背包 现在 没收 背包 没 发 一直 催促 一直 说 耐心 等待 欺骗 说好 工作日 发出 现在 多天 没信 一直 不发 商家 夸大 宣传 赠品 不发 以后 再也不会 买 态度 不会 买 
京东的手机换货机制真的无力吐槽检测一次花费天既然如此我为什么不采用七天无理由退货然后重新买一件新的呢,1,京东 手机 换货 机制 真的 无力 吐槽 检测 一次 花费 天 既然如此 采用 七天 理由 退货 重新 买 一件 新 
手机出厂贴膜真是个玩意是粘了怎么弄都不掉客服还要我去找手机店不是傻子才能搞出来的,1,手机 出厂 贴膜 真是 玩意 粘 怎么弄 掉 客服 找 手机店 傻子 搞 
回来盒子有磕痕就算了毕竟发的快递会有很正常但是新机拆开上边还有手印开机没有插过充电器上边会显示调试真是服了真不是白叫的我拆机带一次性手套是因为之前在也买过手机就是同样的问题上次没带手套人家不承认这次长了个记性,1,回来 盒子 磕痕 毕竟 发 快递 会 正常 新机 拆开 上边 手印 开机 没有 插过 充电器 上边 会 显示 调试 真是 服 真 白叫 拆机 带 一次性 手套 是因为 之前 买 手机 同样 问题 上次 没带 手套 承认 长 记性 
等半个月发货你这个差评拿的不冤听说还有人告到消协得到了补偿你们连个口头歉意都不表示,1,半个 月 发货 差评 冤 听说 人告 消协 得到 补偿 口头 歉意 表示 
一局王者荣耀打下来就卡得不行了手机发热严重屏幕自动降暗找售后换一台机器说要检测发回去检测的话半个月一来一回那我这新手机买回来检测这么久还用什么手机,1,一局 王者 荣耀 下来 卡得 不行 手机 发热 严重 屏幕 自动 降暗 找 售后 换 一台 机器 说 检测 发回去 检测 半个 月 一回 新手机 买回来 检测 这么久 手机 
买手机最好别来京东买两次了都有点毛病才买两天就时不时有杂音真的吐了就没买到过正常的手机,1,买手机 最好 别来 京东 买 两次 有点 毛病 买 两天 时不时 杂音 真的 吐 没 买 正常 手机 
刚拿到手机上面粘的全是指纹严重怀疑是别人用过的不用说是包装时候粘上的骗小孩呢,1,刚 拿到 手机 上面 粘 全是 指纹 严重 怀疑 用过 不用说 包装 粘上 骗 小孩 
其他特色给个差评不为别的就是搞到半夜我整不明白主题咋换你要是能给我搞好我就给好评啥玩意啊这么复杂,1,特色 差 评不为 搞 半夜 我整 明白 主题 换 搞好 好评 玩意 复杂 
手机很一般游戏启动没有快屏幕偶尔点不到手机铃声低续航也不行,1,手机 游戏 启动 没有 快 屏幕 偶尔 点 不到 手机 铃声 低 续航 不行 
非常不满意一天充三次电超级费电我都无语了问客服也不给解释,1,非常 满意 一天 充 三次 电 超级 费电 无语 问 客服 解释 
购买还没收到货就掉价了然后又掉了多第一个客服说申请价保后边又说过了价保时间说什么自营店只有七天价保真的无语这以后还怎么相信京东,1,购买 没收 到货 掉价 掉 第一个 客服 说 申请 价保 后边 说 价保 时间 说 自营 店 七 天价 保 真的 无语 以后 相信 京东 
使用中发热情况很严重充电的时候更加烫,1,使用 中 发热 情况 严重 充电 更加 烫 
电池真不行差的很半天就不行了,1,电池 真 不行 差 半天 不行 
耗电太快网络不稳定经常断网,1,耗电 太快 网络 稳定 经常 断网 
